"mm.1","mm.2","mm.3","mm.4"
1,-1.40625,-0.212264150943396,-0.989528795811518
1,-1.40625,0.0235849056603773,-0.989528795811518
1,-1.40625,0.259433962264151,-0.989528795811518
1,-1.11328125,0.259433962264151,-0.989528795811518
1,-0.8203125,-0.212264150943396,-0.204188481675393
1,-0.72265625,-0.212264150943396,-0.204188481675393
1,-1.015625,-0.683962264150943,0.581151832460733
1,-1.015625,1.20283018867925,-0.204188481675393
1,-0.8203125,3.08962264150943,-0.465968586387435
1,-0.4296875,2.14622641509434,0.581151832460733
