parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
γ12[1],-2.0571012932159873,0.1006299899983875,0.0009874555779497056,10436.901479871522,6542.601106304342,1.0002174985653385,2.503455021186506
γ12[2],-0.15487773804253327,0.11777397410936478,0.0014068724216681364,6993.818242150715,6562.472171945176,1.0006296028131418,1.6775773374257743
γ12[3],-0.09335837126405444,0.1203608788939173,0.0014017556602071168,7403.9840976921105,6479.32828646447,1.0005237547530126,1.7759620709172899
γ12[4],0.023818736574509027,0.09963900959639725,0.0009380419466493221,11350.968796574914,6861.168404997054,1.0004529943725773,2.7227084478971846
γ23[1],-2.1493681453638813,0.3240305595250691,0.0040605248333316635,6516.255253670838,5750.106715680675,1.0004831717506952,1.5630263412562195
γ23[2],0.04292980778064173,0.3226258464009534,0.004113622954771422,6164.857031495047,6747.9215779040715,1.000247762443513,1.4787379492043646
γ23[3],-0.33114805213162357,0.34510146572662553,0.004554084157409344,5813.614926139887,6296.932535073574,1.0001431927239626,1.3944870042280861
γ23[4],-1.021652616260185,0.3779216995056256,0.00416197412157765,8470.818250706436,6662.502323971202,1.0007341199483295,2.031859026760725
γ21[1],-0.3428178208623924,0.13245022989375274,0.0013044479201131268,10326.506137703644,7165.603910488402,1.0003192099508338,2.4769749615444003
γ21[2],-0.055561343232535434,0.15930499837463932,0.0017811373058919998,8001.133383308557,7428.522176560446,1.0000910048281073,1.9191977218772558
γ21[3],-0.1019161264717861,0.1521221480728739,0.001725184189880147,7783.267932093941,6839.486362103933,1.0001409853985948,1.8669392657791335
γ21[4],-0.022415453886778906,0.13040331168101604,0.0012857236893161368,10305.095353890547,7263.474217744004,1.0000979606959854,2.471839248196161
γ32[1],-0.9121162903578528,0.342077474249778,0.0040274203908934846,7324.935283465847,6505.2249644049725,1.0002836792832275,1.7570009691693012
γ32[2],-0.11044545372247126,0.4108518252570313,0.004641111538992411,7922.422788725241,6881.927431429027,1.0001309748855187,1.9003177474317554
γ32[3],0.6815358639304907,0.3874225248574083,0.004169914227355107,8914.040510615212,6644.41903270444,1.000038503666634,2.1381728589081486
γ32[4],0.3443719416897283,0.4617111252905732,0.005328354740984962,7581.587824866794,6442.171824545793,1.0001624913718217,1.8185631190764964
Z1[1],0.011468205162373872,0.007340793936884513,7.715910189439427e-5,6377.8401203941585,3261.706780697355,1.000156003019765,1.5298252938880914
Z1[2],5.550307803629298,0.4803883435061854,0.004931561236677047,9937.925868594473,6646.755538322922,1.000026842719576,2.383767870559449
Z1[3],1.9638822655777597,1.3771154471669969,0.01314499715196859,7249.228175787377,3446.62264858036,0.9999216026632538,1.7388414283110591
Z2[1],0.0051105274053721604,0.0038885633509426203,3.493890401580958e-5,8421.375443914165,3611.4689154070134,1.0002559682460597,2.019999391679913
Z2[2],1.1122099590714032,0.09410996461711993,0.0009244849459974706,10280.570137226649,6711.028799250003,1.000560265018833,2.4659564891300403
Z2[3],4.6809037431823715,1.3167171448256256,0.013862863030781335,9343.083123075485,6981.949409962695,1.0002851078957262,2.2410854795300947
Z3[1],0.005328506865139243,0.0037697869386626105,3.402932147505959e-5,9280.218772637067,5150.29242344713,1.0004580864885193,2.2260064760478637
Z3[2],1.591388559722278,0.11113801509748049,0.0010766895269930298,10606.611222868065,6441.978592390208,1.0000041897228946,2.544162573046447
Z3[3],4.280260664823047,1.1861762296506682,0.012379696594174797,10529.483330536266,6618.611263617692,0.9999977847268189,2.525662234636244
Z4[1],0.029059424119020415,0.00949955461028118,8.65298539921704e-5,11386.694963339585,6567.362077588627,1.000334431226719,2.7312779310668067
Z4[2],6.048935854683797,0.6271360504663854,0.006909621421277352,8418.919117604453,6852.020278686972,1.0002095346678344,2.0194102031697425
Z4[3],1.7044098045037015,1.319575202032015,0.011563081501987272,8166.610620674883,3963.2750475892594,1.000521844378741,1.958890040672805
